[16:33:34] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:33:35] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:33:35] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:33:35] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[16:33:35] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[16:33:35] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:33:35] [main/INFO]: Reloading ResourceManager: Default
[16:33:35] [Worker-Main-11/INFO]: Loaded 7 recipes
[16:33:36] [Worker-Main-11/INFO]: Loaded 1137 advancements
[16:33:37] [Server thread/INFO]: Starting minecraft server version 1.17.1
[16:33:37] [Server thread/INFO]: Loading properties
[16:33:37] [Server thread/INFO]: Default game type: SURVIVAL
[16:33:37] [Server thread/INFO]: Generating keypair
[16:33:37] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:33:37] [Server thread/INFO]: Using default channel type
[16:33:37] [Server thread/INFO]: Preparing level "world"
[16:33:41] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[16:33:41] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[16:33:42] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[16:33:42] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[16:33:42] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[16:33:43] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[16:33:43] [Worker-Main-14/INFO]: Preparing spawn area: 1%
[16:33:44] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[16:33:44] [Worker-Main-12/INFO]: Preparing spawn area: 6%
[16:33:45] [Worker-Main-12/INFO]: Preparing spawn area: 6%
[16:33:45] [Worker-Main-13/INFO]: Preparing spawn area: 6%
[16:33:46] [Worker-Main-14/INFO]: Preparing spawn area: 11%
[16:33:46] [Worker-Main-12/INFO]: Preparing spawn area: 13%
[16:33:47] [Worker-Main-9/INFO]: Preparing spawn area: 16%
[16:33:47] [Worker-Main-14/INFO]: Preparing spawn area: 16%
[16:33:48] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[16:33:48] [Worker-Main-14/INFO]: Preparing spawn area: 25%
[16:33:49] [Worker-Main-11/INFO]: Preparing spawn area: 25%
[16:33:49] [Worker-Main-14/INFO]: Preparing spawn area: 25%
[16:33:50] [Worker-Main-14/INFO]: Preparing spawn area: 33%
[16:33:50] [Worker-Main-8/INFO]: Preparing spawn area: 37%
[16:33:51] [Worker-Main-12/INFO]: Preparing spawn area: 40%
[16:33:51] [Worker-Main-12/INFO]: Preparing spawn area: 44%
[16:33:52] [Worker-Main-10/INFO]: Preparing spawn area: 46%
[16:33:53] [Worker-Main-13/INFO]: Preparing spawn area: 48%
[16:33:53] [Worker-Main-11/INFO]: Preparing spawn area: 55%
[16:33:53] [Worker-Main-9/INFO]: Preparing spawn area: 60%
[16:33:54] [Worker-Main-10/INFO]: Preparing spawn area: 61%
[16:33:54] [Worker-Main-14/INFO]: Preparing spawn area: 68%
[16:33:55] [Worker-Main-8/INFO]: Preparing spawn area: 72%
[16:33:55] [Worker-Main-12/INFO]: Preparing spawn area: 74%
[16:33:56] [Worker-Main-13/INFO]: Preparing spawn area: 83%
[16:33:56] [Worker-Main-10/INFO]: Preparing spawn area: 88%
[16:33:57] [Worker-Main-10/INFO]: Preparing spawn area: 97%
[16:33:57] [Server thread/INFO]: Time elapsed: 16167 ms
[16:33:57] [Server thread/INFO]: Done (19.895s)! For help, type "help"
